0.0 T2 Sigma,0.1 T2 Sigma,0.2 T2 Sigma,0.3 T2 Sigma,0.4 T2 Sigma,0.5 T2 Sigma,0.6 T2 Sigma,0.7 T2 Sigma,0.8 T2 Sigma,0.9 T2 Sigma,1.0 T2 Sigma
-305.9914808358,-306.2695659403,-306.5664734566,-306.6603874732,-306.9799228106,-307.2582025482,-307.3821831034,-307.383458841,-307.3654320091,-307.451034198,-307.5442436858
-301.9469952413,-302.2161903329,-302.3290864142,-302.6308428235,-302.8616486598,-302.8437346743,-302.9354801902,-303.0765471599,-303.1465582152,-303.1402560849,-303.1576584596
-303.9116752217,-304.3709173021,-304.4621575598,-304.5980350099,-304.8781295051,-305.3328280462,-305.6799438613,-305.8146496453,-305.9211455931,-306.035969432,-306.1290905015
-300.4069564143,-300.3075378959,-300.7758239107,-301.2353482241,-301.7443317603,-302.033609177,-302.0633125603,-302.206251127,-302.2861147542,-302.5339751172,-302.6238274944
-307.0412076063,-306.9215060934,-307.1010135148,-307.3491246028,-307.6646085504,-307.7687605646,-307.6643787425,-307.6907355217,-307.6582170074,-307.7729985784,-307.6798505296
-296.028887322,-296.5148891547,-297.3364060366,-298.0743951872,-298.6442579942,-299.1800362894,-299.5503692475,-299.7728754262,-299.8315171078,-299.9163981449,-300.0980300653
-305.3225317695,-305.5611360523,-305.5240688904,-305.709297147,-305.6509019609,-305.9088202443,-305.8674634796,-305.8368381724,-305.9582506189,-306.0439779346,-306.00744383
-304.5016306015,-304.9899274766,-305.2168353114,-305.4561447117,-305.77044625,-305.9096281255,-306.054060491,-306.2246716505,-306.3285282899,-306.3028604865,-306.2794353189
-303.9834243832,-304.0058923933,-304.5723876319,-304.7794369308,-305.2226250653,-305.498402809,-305.5072199037,-305.5489536622,-305.7009507908,-305.8507212565,-305.9442668481
-310.1335289115,-310.2967630904,-310.1538127002,-310.1032744126,-310.2322603985,-310.2012713335,-309.9313015517,-310.0589741405,-309.9838302021,-309.936359364,-309.9407243147
-303.1168620992,-304.0310169754,-304.5188484964,-304.6756163357,-305.1006820118,-305.3041779803,-305.4822715292,-305.6312724893,-305.7248822083,-305.7103618042,-305.7782277081
-307.3803808168,-307.3740752329,-307.3385391699,-307.1756127674,-307.4927667375,-307.6159071232,-307.7230871023,-307.6601963032,-307.6399340258,-307.7453165413,-307.7706528665
-298.3654614759,-299.0504115686,-299.7371906869,-300.2955417271,-300.7309451554,-300.8700976927,-301.082794718,-301.2063803318,-301.2252552339,-301.2806697116,-301.442597821
-302.7229177131,-302.6750210974,-302.8480910589,-302.7773748207,-302.7685226898,-302.9600386756,-302.8559317104,-302.9499310619,-302.9272251157,-303.0803641499,-303.0826880808
-309.142755485,-308.6564077188,-308.3632531289,-308.0081395515,-307.9608991401,-307.7339016954,-307.7522393739,-307.76867804,-307.7897034744,-307.9554092059,-307.962046435
-301.9717247442,-302.2148843335,-302.6492051962,-303.6081113134,-304.053128669,-304.0313480168,-304.185655127,-304.4243949814,-304.483778695,-304.5134074758,-304.5801456119
-308.5677023334,-308.0856958711,-307.9298527391,-307.488366483,-307.3728809229,-306.7754730906,-306.5676832265,-306.3184180223,-306.3745440883,-306.301062185,-306.2209063767
-309.4223001152,-309.4812941763,-309.6360295604,-309.6383078159,-309.6903690299,-309.7132735231,-309.6571062132,-309.6080667051,-309.5794953009,-309.4994749323,-309.4674547071
-306.6114990827,-306.4103797676,-306.1458117433,-306.284315903,-306.2559919847,-306.2527974114,-306.2723994684,-306.2651180024,-306.2631123092,-306.2792572036,-306.2517563348
-309.5058596342,-309.1653145971,-309.006136787,-308.941002185,-308.8470319144,-308.8762028839,-308.9598243496,-308.8892049771,-308.9180327353,-308.9425195187,-308.9559846176
-307.0578456164,-307.3681831114,-307.9420676592,-307.9910097517,-308.1539900174,-308.2478206015,-308.2389440099,-308.291308989,-308.2647900965,-308.3071446184,-308.2705562983
-303.6085243872,-304.1286559676,-304.9287222632,-305.2784797924,-305.3556930723,-305.472984907,-305.5308560057,-305.6862316599,-305.7026936898,-305.8620829998,-305.9804588651
-302.6381712857,-302.6192526802,-303.4704188896,-303.5852524006,-303.7657470917,-303.7930352278,-304.0184947789,-304.1081662372,-304.1929842266,-304.2168716443,-304.2231860401
-310.3743065035,-310.1855380165,-309.9253708973,-310.1586869127,-310.1029084686,-310.0346655261,-310.0677755537,-309.9823213573,-310.0482904349,-309.9271484321,-309.8503734899
-296.9166147989,-297.0577367898,-297.3929698744,-297.4122461068,-297.8418425534,-298.4242567442,-298.5373660369,-298.7153336151,-298.8409967856,-299.0422660847,-299.1302723875
-306.4805701184,-306.3773333779,-306.5235049996,-306.995034556,-306.9812380321,-306.8968864077,-307.0362091178,-307.1952090398,-307.1721078131,-307.1466862975,-307.1499621531
-308.4943925174,-308.8628709038,-308.5887266129,-308.7604339715,-308.6892021555,-308.5992487971,-308.6510881943,-308.7376442674,-309.0082123357,-309.0820758184,-309.0148008555
-309.7535115431,-309.5215029021,-309.5367126272,-309.4807838426,-309.4883902088,-309.4273051642,-309.4464683979,-309.4356670336,-309.4087260501,-309.3615445795,-309.3204326659
-304.9336937549,-304.8594661271,-305.4930728816,-305.7049972848,-305.9599396961,-306.2865612072,-306.6129360211,-306.3274421861,-306.4101546159,-306.3920011937,-306.4062176054
