5% intensity,15% intensity,25% intensity,75% intensity
0.5161290323,0.5,0.8333333333,0.9333333333
0.5483870968,0.7333333333,0.6774193548,0.75
0.46875,0.6875,0.75,1
0.53125,0.6875,0.8125,0.9375
0.53125,0.53125,0.6774193548,0.9375
0.5,0.59375,0.78125,0.5625
0.4838709677,0.5625,0.7931034483,1
0.5172413793,0.5666666667,0.7333333333,0.8666666667
0.4375,0.59375,0.7741935484,1
0.4482758621,0.6551724138,0.6896551724,0.8571428571
0.5,0.5,0.75,1
0.40625,0.5161290323,0.75,0.875
0.4666666667,0.6451612903,0.6,0.9333333333
0.6129032258,0.59375,0.75,0.9375
0.53125,0.5806451613,0.625,0.875
0.5,0.78125,0.71875,1
0.5,0.7419354839,0.75,1
0.5,0.59375,0.59375,1
0.5,0.65625,0.75,0.9375
0.4666666667,0.7142857143,0.3793103448,0.5454545455
0.4375,0.5625,0.5806451613,0.6875
0.5483870968,0.65625,0.8064516129,1
0.40625,0.625,0.6875,1
0.4615384615,0.3666666667,0.5862068966,0.6923076923
0.6129032258,0.7333333333,0.8387096774,1
0.5625,0.5,0.6451612903,1
0.4137931034,0.59375,0.5625,0.6875
0.5357142857,0.6551724138,0.5862068966,1
0.53125,0.65625,0.84375,1
