5% intensity,15% intensity,25% intensity,75% intensity
0.3870967742,0.59375,0.7666666667,0.8666666667
0.5483870968,0.5666666667,0.5483870968,0.75
0.40625,0.6875,0.4375,1
0.4375,0.40625,0.59375,0.9375
0.4375,0.5,0.7419354839,0.875
0.5625,0.65625,0.59375,0.9375
0.5161290323,0.5625,0.6206896552,0.75
0.3793103448,0.5666666667,0.6,0.6666666667
0.5625,0.625,0.5806451613,0.875
0.4482758621,0.5172413793,0.5862068966,0.7857142857
0.4375,0.59375,0.71875,1
0.3125,0.3870967742,0.625,0.6875
0.4666666667,0.5161290323,0.6,1
0.4193548387,0.4838709677,0.6875,0.9375
0.375,0.3548387097,0.3125,0.375
0.46875,0.65625,0.8125,1
0.53125,0.5483870968,0.5,0.5625
0.5,0.5625,0.65625,1
0.6,0.65625,0.40625,0.875
0.4137931034,0.5714285714,0.4137931034,0.4545454545
0.59375,0.65625,0.7741935484,0.875
0.5483870968,0.4375,0.7096774194,1
0.59375,0.5625,0.78125,0.9333333333
0.5,0.5666666667,0.4137931034,0.3846153846
0.4333333333,0.5862068966,0.5161290323,0.875
0.5625,0.375,0.5806451613,0.4375
0.4482758621,0.5625,0.5483870968,0.625
0.6428571429,0.5172413793,0.6206896552,0.9333333333
0.6875,0.4375,0.53125,0.5
